x_values,y_values
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin7
"['G', 'Emin', 'Amin7']",D
"['Emin', 'Amin7', 'D']",G
"['Amin7', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
"['Emin', 'Amin', 'D']",G
"['Amin', 'D', 'G']",Emin
"['D', 'G', 'Emin']",Amin
"['G', 'Emin', 'Amin']",D
